date,team,opponent,time
2026-09-16,Girls JV Golf,Medina,3:00 PM
2026-09-16,Boys JV Golf,Bay,3:15 PM
2026-09-16,Girls Varsity A Tennis,Copley,4:30 PM
2026-09-16,Girls Varsity B Tennis,Westlake,4:30 PM
2026-09-16,Girls JV Tennis,Copley,4:30 PM
2026-09-16,Girls JV A Soccer,Shaker Heights,5:00 PM
2026-09-16,Girls Varsity Soccer,Shaker Heights,7:00 PM
2026-09-17,Girls Varsity A Tennis,GCC Tournament,9:00 AM
2026-09-17,Boys Freshman Football,Euclid,4:30 PM
2026-09-17,Boys 7th B Football,Medina,4:30 PM
2026-09-19,Boys JV Football,Euclid,10:00 AM
*,Boys Varsity Football,*,7:00 PM
